record_id,pack,office,quarter,month,sheet_name,metric_name,metric_unit,metric_kind,species,metric_value
1,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,offence_cases_no_s_aquatic_and_fishing_c3,count,count,Chir Pine,0
2,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,forest_fire_c4,value,decimal,Hemlock,0
3,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,grazing_c5,value,decimal,Cypress,0
4,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,illegal_timber_c6,value,decimal,Oak,0
5,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,land_related_c7,value,decimal,Broadleaf Mixed,0
6,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,nwfp_c8,value,decimal,Blue Pine,1.084480482745615689232509900
7,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,nwfp_c8,value,decimal,Hemlock,1.915519517254384310767490100
8,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,others_c9,value,decimal,Hemlock,0
9,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,timber_misuse_c10,value,decimal,Cypress,0
10,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,waste_pollution_c11,value,decimal,Oak,0
11,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,wildlife_and_poaching_c12,value,decimal,Broadleaf Mixed,0
12,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Blue Pine,647.2885205403036219468462366
13,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,fine_nu_c13,nu,decimal,Hemlock,1736.024226003107941188189823
14,fr3,Bumdeling Wildlife Sanctuary,Q1,Mar,Forest_offence,fine_nu_c13,nu,decimal,Oak,959.4573056540622385145634936
15,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Blue Pine,1082.101446388014503725544886
16,fr3,Bumdeling Wildlife Sanctuary,Q1,Feb,Forest_offence,fine_nu_c13,nu,decimal,Hemlock,75.128501414511694624855560
17,fr3,Bumdeling Wildlife Sanctuary,Q1,Jan,Forest_offence,compensation_nu_c14,nu,decimal,Broadleaf Mixed,849.5982200247218788627935723
