pack,sheet_name,office,quarter,metric_name,metric_value
fr4,Forestry Clearance,"Divisional Forest Office, Dagana",Q1,total_forestry_clearance_area_acre_12_67_c3,32.54
fr4,Forestry Clearance,"Divisional Forest Office, Dagana",Q1,total_forest_area_acre_5_809_c4,8.26
fr4,Forestry Clearance,"Divisional Forest Office, Dagana",Q1,volume_of_timber_m3_111_16_c5,275.0
fr4,Forestry Clearance,"Divisional Forest Office, Dagana",Q1,volume_of_poles_m3_18_25_c6,10.0
fr4,Forestry Clearance,"Divisional Forest Office, Gedu",Q1,total_forestry_clearance_area_acre_12_67_c3,101.784
fr4,Forestry Clearance,"Divisional Forest Office, Gedu",Q1,total_forest_area_acre_5_809_c4,56.166
fr4,Forestry Clearance,"Divisional Forest Office, Gedu",Q1,volume_of_timber_m3_111_16_c5,10848.65
fr4,Forestry Clearance,"Divisional Forest Office, Gedu",Q1,volume_of_poles_m3_18_25_c6,182.7
fr4,Forestry Clearance,"Divisional Forest Office, Mongar",Q1,total_forestry_clearance_area_acre_12_67_c3,22.184
fr4,Forestry Clearance,"Divisional Forest Office, Mongar",Q1,total_forest_area_acre_5_809_c4,15.72
fr4,Forestry Clearance,"Divisional Forest Office, Mongar",Q1,volume_of_timber_m3_111_16_c5,157.58
fr4,Forestry Clearance,"Divisional Forest Office, Mongar",Q1,volume_of_poles_m3_18_25_c6,13.51
fr4,Forestry Clearance,"Divisional Forest Office,Paro",Q1,total_forestry_clearance_area_acre_12_67_c3,84.016
fr4,Forestry Clearance,"Divisional Forest Office,Paro",Q1,total_forest_area_acre_5_809_c4,40.272
fr4,Forestry Clearance,"Divisional Forest Office,Paro",Q1,volume_of_timber_m3_111_16_c5,356.65
fr4,Forestry Clearance,"Divisional Forest Office,Paro",Q1,volume_of_poles_m3_18_25_c6,14.41
fr4,Forestry Clearance,"Divisional Forest Office, Pema Gatshel",Q1,total_forestry_clearance_area_acre_12_67_c3,26.514
fr4,Forestry Clearance,"Divisional Forest Office, Pema Gatshel",Q1,total_forest_area_acre_5_809_c4,23.369
fr4,Forestry Clearance,"Divisional Forest Office, Pema Gatshel",Q1,volume_of_timber_m3_111_16_c5,97.8
fr4,Forestry Clearance,"Divisional Forest Office, Pema Gatshel",Q1,volume_of_poles_m3_18_25_c6,6.32
fr4,Forestry Clearance,"Divisional Forest Office, Samdrup Jongkhar",Q1,total_forestry_clearance_area_acre_12_67_c3,0.5981
fr4,Forestry Clearance,"Divisional Forest Office, Samdrup Jongkhar",Q1,total_forest_area_acre_5_809_c4,0.329
fr4,Forestry Clearance,"Divisional Forest Office, Samdrup Jongkhar",Q1,volume_of_timber_m3_111_16_c5,2880.64
fr4,Forestry Clearance,"Divisional Forest Office, Samdrup Jongkhar",Q1,volume_of_poles_m3_18_25_c6,0
fr4,Forestry Clearance,"Divisional Forest Office, Samtse",Q1,total_forestry_clearance_area_acre_12_67_c3,487.57
fr4,Forestry Clearance,"Divisional Forest Office, Samtse",Q1,total_forest_area_acre_5_809_c4,77.79
fr4,Forestry Clearance,"Divisional Forest Office, Samtse",Q1,volume_of_timber_m3_111_16_c5,938.55
fr4,Forestry Clearance,"Divisional Forest Office, Samtse",Q1,volume_of_poles_m3_18_25_c6,0
fr4,Forestry Clearance,"Divisional Forest Office, Sarpang",Q1,total_forestry_clearance_area_acre_12_67_c3,58.959
fr4,Forestry Clearance,"Divisional Forest Office, Sarpang",Q1,total_forest_area_acre_5_809_c4,65.888
fr4,Forestry Clearance,"Divisional Forest Office, Sarpang",Q1,volume_of_timber_m3_111_16_c5,1024.02
fr4,Forestry Clearance,"Divisional Forest Office, Sarpang",Q1,volume_of_poles_m3_18_25_c6,0
fr4,Forestry Clearance,"Divisional Forest Office, Thimphu",Q1,total_forestry_clearance_area_acre_12_67_c3,2.668
fr4,Forestry Clearance,"Divisional Forest Office, Thimphu",Q1,total_forest_area_acre_5_809_c4,1.375
fr4,Forestry Clearance,"Divisional Forest Office, Thimphu",Q1,volume_of_timber_m3_111_16_c5,57.83
fr4,Forestry Clearance,"Divisional Forest Office, Thimphu",Q1,volume_of_poles_m3_18_25_c6,0
fr4,Forestry Clearance,"Divisional Forest Office, Trashigang",Q1,total_forestry_clearance_area_acre_12_67_c3,41.76
fr4,Forestry Clearance,"Divisional Forest Office, Trashigang",Q1,total_forest_area_acre_5_809_c4,20.23
fr4,Forestry Clearance,"Divisional Forest Office, Trashigang",Q1,volume_of_timber_m3_111_16_c5,449.55
fr4,Forestry Clearance,"Divisional Forest Office, Trashigang",Q1,volume_of_poles_m3_18_25_c6,94.9
fr4,Forestry Clearance,"Divisional Forest Office, Tsirang",Q1,total_forestry_clearance_area_acre_12_67_c3,2.644
fr4,Forestry Clearance,"Divisional Forest Office, Tsirang",Q1,total_forest_area_acre_5_809_c4,0.504
fr4,Forestry Clearance,"Divisional Forest Office, Tsirang",Q1,volume_of_timber_m3_111_16_c5,20.15
fr4,Forestry Clearance,"Divisional Forest Office, Tsirang",Q1,volume_of_poles_m3_18_25_c6,0.0
fr4,Forestry Clearance,"Divisional Forest Office, Wangdue",Q1,total_forestry_clearance_area_acre_12_67_c3,0
fr4,Forestry Clearance,"Divisional Forest Office, Wangdue",Q1,total_forest_area_acre_5_809_c4,0
fr4,Forestry Clearance,"Divisional Forest Office, Wangdue",Q1,volume_of_timber_m3_111_16_c5,0
fr4,Forestry Clearance,"Divisional Forest Office, Wangdue",Q1,volume_of_poles_m3_18_25_c6,0
fr4,Forestry Clearance,"Divisional Forest Office, Zhemgang",Q1,total_forestry_clearance_area_acre_12_67_c3,51.271
fr4,Forestry Clearance,"Divisional Forest Office, Zhemgang",Q1,total_forest_area_acre_5_809_c4,38.705
fr4,Forestry Clearance,"Divisional Forest Office, Zhemgang",Q1,volume_of_timber_m3_111_16_c5,10727.97
fr4,Forestry Clearance,"Divisional Forest Office, Zhemgang",Q1,volume_of_poles_m3_18_25_c6,1184.33
fr4,Forestry Clearance,Bumdeling Wildlife Sanctuary,Q1,total_forestry_clearance_area_acre_12_67_c3,0.123
fr4,Forestry Clearance,Bumdeling Wildlife Sanctuary,Q1,total_forest_area_acre_5_809_c4,0.069
fr4,Forestry Clearance,Bumdeling Wildlife Sanctuary,Q1,volume_of_timber_m3_111_16_c5,0.4
fr4,Forestry Clearance,Bumdeling Wildlife Sanctuary,Q1,volume_of_poles_m3_18_25_c6,0
fr4,Forestry Clearance,Jigme Dorji National Park,Q1,total_forestry_clearance_area_acre_12_67_c3,0
fr4,Forestry Clearance,Jigme Dorji National Park,Q1,total_forest_area_acre_5_809_c4,0
