pack,sheet_name,quarter,metric_name,quarterly_total,combined_total,abs_diff,is_match
fr1,Timber,Q1,commercial_other_volume_m3,19287.64,0,19287.64,false
fr1,Timber,Q1,commercial_standing_volume_m3,5533.08,0,5533.08,false
fr1,Timber,Q1,commercial_total_royalty_nu,6135794.19,0,6135794.19,false
fr1,Timber,Q1,free_firewood_volume_m3,506.63,0,506.63,false
fr1,Timber,Q1,free_timber_volume_m3,2136.58,0,2136.58,false
fr1,Timber,Q1,rural_other_royalty_nu,3388.0,0,3388.0,false
fr1,Timber,Q1,rural_other_volume_m3,67.86,0,67.86,false
fr1,Timber,Q1,rural_standing_royalty_nu,220651.48,0,220651.48,false
fr1,Timber,Q1,rural_standing_volume_m3,17798.86,0,17798.86,false
fr1,Timber,Q2,commercial_other_volume_m3,30614.65,0,30614.65,false
fr1,Timber,Q2,commercial_standing_volume_m3,2347.30,0,2347.30,false
fr1,Timber,Q2,commercial_total_royalty_nu,6387316.05,0,6387316.05,false
fr1,Timber,Q2,free_firewood_volume_m3,1444.94,0,1444.94,false
fr1,Timber,Q2,free_timber_volume_m3,4067.18,0,4067.18,false
fr1,Timber,Q2,rural_other_royalty_nu,10281.6,0,10281.6,false
fr1,Timber,Q2,rural_other_volume_m3,285.77,0,285.77,false
fr1,Timber,Q2,rural_standing_royalty_nu,119582.72,0,119582.72,false
fr1,Timber,Q2,rural_standing_volume_m3,13787.61,0,13787.61,false
fr1,Timber,Q3,commercial_other_volume_m3,10271.58,0,10271.58,false
fr1,Timber,Q3,commercial_standing_volume_m3,1118.53,0,1118.53,false
fr1,Timber,Q3,commercial_total_royalty_nu,3902917.38,0,3902917.38,false
fr1,Timber,Q3,free_firewood_volume_m3,3265.91,0,3265.91,false
fr1,Timber,Q3,free_timber_volume_m3,1573.03,0,1573.03,false
fr1,Timber,Q3,rural_other_royalty_nu,7517.88,0,7517.88,false
fr1,Timber,Q3,rural_other_volume_m3,373.32,0,373.32,false
fr1,Timber,Q3,rural_standing_royalty_nu,70443.34,0,70443.34,false
fr1,Timber,Q3,rural_standing_volume_m3,6623.24,0,6623.24,false
fr1,Timber,Q4,commercial_other_volume_m3,45348.68,0,45348.68,false
fr1,Timber,Q4,commercial_standing_volume_m3,7018.56,0,7018.56,false
fr1,Timber,Q4,commercial_total_royalty_nu,15753834.22,0,15753834.22,false
fr1,Timber,Q4,free_firewood_volume_m3,196.85,0,196.85,false
fr1,Timber,Q4,free_timber_volume_m3,2401.72,0,2401.72,false
