record_id,office,quarter,month,category,product,species,volume_m3,royalty_nu
1,Bumdeling Wildlife Sanctuary,Q1,Mar,Rural,standing,Chir Pine,126.6420341337566977574915658,3019.444246511317353275021700
2,Bumdeling Wildlife Sanctuary,Q1,Feb,Rural,standing,Cypress,48.96649930541774161539988093,1990.515686719636776390465380
3,Bumdeling Wildlife Sanctuary,Q1,Mar,Rural,standing,Broadleaf Mixed,155.8114665608255606271085533,4076.280066769045870334512920
4,Bumdeling Wildlife Sanctuary,Q1,Jan,Rural,other,Broadleaf Mixed,0,0
5,Bumdeling Wildlife Sanctuary,Q1,Mar,Commercial,standing,Chir Pine,61.50662833221056683668559330,34509.53752169385629989586949
6,Bumdeling Wildlife Sanctuary,Q1,Mar,Commercial,standing,Cypress,43.71377393898566066788567029,14275.12582205252805738748120
7,Bumdeling Wildlife Sanctuary,Q1,Feb,Commercial,standing,Broadleaf Mixed,51.3295977288037724954287364,20258.37665625361564271664931
8,Bumdeling Wildlife Sanctuary,Q1,Mar,Commercial,other,Broadleaf Mixed,0,0
9,Bumdeling Wildlife Sanctuary,Q1,Jan,Free,timber,Chir Pine,0,0
10,Bumdeling Wildlife Sanctuary,Q1,Mar,Free,firewood,Cypress,89.73707042253521126760563380,0
11,Bumdeling Wildlife Sanctuary,Q1,Jan,Free,firewood,Broadleaf Mixed,203.6994351371386212008895478,0
12,Bumdeling Wildlife Sanctuary,Q1,Feb,Free,firewood,Chir Pine,64.5034944403261675315048184,0
13,"Divisional Forest Office, Bumthang",Q1,Feb,Rural,standing,Chir Pine,52.00188271458973752660203358,6673.057197983444326881185038
14,"Divisional Forest Office, Bumthang",Q1,Feb,Rural,standing,Cypress,310.4929931425868999763537479,7466.609945851745814402190826
15,"Divisional Forest Office, Bumthang",Q1,Jan,Rural,standing,Broadleaf Mixed,370.1406166942539607472215654,17576.20962220700815335781415
16,"Divisional Forest Office, Bumthang",Q1,Feb,Rural,standing,Chir Pine,413.9545074485694017498226531,20970.12323395780170535880999
17,"Divisional Forest Office, Bumthang",Q1,Jan,Rural,other,Blue Pine,0.1572828847130523108176739462,257.6931041623524539242079105
18,"Divisional Forest Office, Bumthang",Q1,Feb,Rural,other,Hemlock,0.1527171152869476891823260538,462.3068958376475460757920895
19,"Divisional Forest Office, Bumthang",Q1,Jan,Commercial,standing,Cypress,7.037759324419422941590429275,390.2289759166768899888402568
20,"Divisional Forest Office, Bumthang",Q1,Feb,Commercial,standing,Broadleaf Mixed,6.282240675580577058409570725,2168.591748693580909727139378
21,"Divisional Forest Office, Bumthang",Q1,Jan,Commercial,other,Blue Pine,3557.138419460277154974472568,908303.9132542313620975259132
22,"Divisional Forest Office, Bumthang",Q1,Feb,Commercial,other,Hemlock,2245.913225370755557956724925,345285.2316857197784293884343
23,"Divisional Forest Office, Bumthang",Q1,Feb,Commercial,other,Oak,4010.958010210972743726194657,353417.1146230124643992787680
24,"Divisional Forest Office, Bumthang",Q1,Mar,Commercial,other,Blue Pine,2962.063724303735919392744266,695047.5674605108109320872771
25,"Divisional Forest Office, Bumthang",Q1,Mar,Commercial,other,Hemlock,788.2807650125611172641076204,547485.8714635704981076727968
26,"Divisional Forest Office, Bumthang",Q1,Jan,Commercial,other,Oak,2329.63585564169750668575596,203753.920788344828234330830
27,"Divisional Forest Office, Bumthang",Q1,Feb,Free,timber,Chir Pine,0,0
28,"Divisional Forest Office, Bumthang",Q1,Feb,Free,firewood,Cypress,0,0
29,"Divisional Forest Office, Dagana",Q1,Mar,Rural,standing,Broadleaf Mixed,210.7974001120238984316654220,597.7223928623665350299839111
30,"Divisional Forest Office, Dagana",Q1,Jan,Rural,standing,Chir Pine,209.6911524458551157580283794,1502.457998147335576032372873
31,"Divisional Forest Office, Dagana",Q1,Jan,Rural,standing,Cypress,290.5998179611650485436893204,937.0673297255131392911120862
32,"Divisional Forest Office, Dagana",Q1,Jan,Rural,standing,Broadleaf Mixed,106.1616294809559372666168782,2630.752279264784749646531130
33,"Divisional Forest Office, Dagana",Q1,Feb,Rural,other,Oak,0.09392125984251968503937007874,260.0851372158318992844851010
34,"Divisional Forest Office, Dagana",Q1,Jan,Rural,other,Blue Pine,3.266078740157480314960629921,139.9148627841681007155148990
35,"Divisional Forest Office, Dagana",Q1,Jan,Commercial,standing,Chir Pine,0,0
36,"Divisional Forest Office, Dagana",Q1,Mar,Commercial,other,Cypress,6.723507567086353808978761287,2209.538333188115361157096802
37,"Divisional Forest Office, Dagana",Q1,Feb,Commercial,other,Broadleaf Mixed,9.766492432913646191021238713,4257.911666811884638842903198
38,"Divisional Forest Office, Dagana",Q1,Feb,Free,timber,Blue Pine,0,0
39,"Divisional Forest Office, Dagana",Q1,Mar,Free,firewood,Hemlock,0,0
40,"Divisional Forest Office, Gedu",Q1,Mar,Rural,standing,Oak,346.5321548162644053055011959,2411.278503776525596451264836
41,"Divisional Forest Office, Gedu",Q1,Mar,Rural,standing,Blue Pine,329.7488225701239399869536856,2420.556408104543819685888982
42,"Divisional Forest Office, Gedu",Q1,Mar,Rural,standing,Hemlock,159.7326967819091106762339639,2227.673660232586020860808057
43,"Divisional Forest Office, Gedu",Q1,Feb,Rural,standing,Oak,56.3163258317025440313111546,1086.491427886344563002038125
44,"Divisional Forest Office, Gedu",Q1,Mar,Rural,other,Cypress,0,0
45,"Divisional Forest Office, Gedu",Q1,Mar,Commercial,standing,Broadleaf Mixed,53.71914656076727109246216095,20292.95519310088136182983957
46,"Divisional Forest Office, Gedu",Q1,Jan,Commercial,standing,Chir Pine,264.3281717368499925071182377,40338.82164048495523907917220
47,"Divisional Forest Office, Gedu",Q1,Feb,Commercial,standing,Cypress,116.7226817023827364004196014,18284.56718304375385895751389
48,"Divisional Forest Office, Gedu",Q1,Jan,Commercial,other,Cypress,41.15854266658355669139188431,11286.67116026819903410837366
49,"Divisional Forest Office, Gedu",Q1,Jan,Commercial,other,Broadleaf Mixed,5.298896715078227264227388892,7819.399703564004647116131014
50,"Divisional Forest Office, Gedu",Q1,Jan,Commercial,other,Chir Pine,67.19256061833821604438072680,1522.86511953820585890896967
51,"Divisional Forest Office, Gedu",Q1,Mar,Free,timber,Chir Pine,356.8645863589211618257261411,0
52,"Divisional Forest Office, Gedu",Q1,Jan,Free,timber,Cypress,86.49223029045643153526970954,0
